username,ratings,text,email,phoneNumber
dngmmuyj,2,average excellent poor wonderful poor,dngmmuyj@gmail.com,+917468693465
otnlyjlf,2,poor great terrible poor terrible poor great terrible wonderful satisfactory,otnlyjlf@gmail.com,+919545222590
hllzftil,1,amazing amazing terrible amazing satisfactory excellent horrible terrible terrible amazing horrible poor excellent terrible,hllzftil@gmail.com,+919349552231
teogqdtl,2,amazing satisfactory great excellent great amazing terrible,teogqdtl@gmail.com,+917020051047
vrtdyqws,2,average amazing satisfactory poor poor poor great horrible wonderful amazing horrible poor great horrible,vrtdyqws@gmail.com,+916629393661
oyjrmkrm,2,wonderful excellent satisfactory horrible amazing terrible poor horrible horrible amazing great,oyjrmkrm@gmail.com,+917007371161
hssqubcw,5,great wonderful terrible amazing great amazing average excellent amazing great,hssqubcw@gmail.com,+918041067177
tnzriguc,4,great horrible horrible great average great poor amazing excellent great wonderful poor amazing,tnzriguc@gmail.com,+919407999186
oaxvbhzo,5,excellent great average horrible great great great horrible terrible wonderful amazing average excellent great,oaxvbhzo@gmail.com,+918048315752
nwmetukj,5,average great horrible terrible excellent amazing satisfactory excellent poor average poor great excellent,nwmetukj@gmail.com,+918799218942
frdtfaxn,3,amazing poor poor average terrible,frdtfaxn@gmail.com,+918786911708
wjhjpivc,5,wonderful horrible amazing poor excellent amazing,wjhjpivc@gmail.com,+917015091158
lnewfqbk,2,excellent great great wonderful horrible terrible wonderful excellent poor amazing wonderful wonderful poor terrible amazing,lnewfqbk@gmail.com,+918974465352
xqrsasud,3,great satisfactory great amazing terrible great average average wonderful amazing horrible horrible great excellent terrible,xqrsasud@gmail.com,+917655860331
nozihnct,5,amazing excellent poor horrible average excellent average wonderful average satisfactory satisfactory horrible poor satisfactory,nozihnct@gmail.com,+916925454755
wyaitibv,3,satisfactory poor amazing satisfactory amazing terrible,wyaitibv@gmail.com,+916868559628
bgngrfbe,2,great average satisfactory wonderful horrible satisfactory wonderful wonderful excellent horrible terrible excellent wonderful,bgngrfbe@gmail.com,+918100209486
pnzyhewr,1,satisfactory satisfactory average terrible satisfactory excellent excellent horrible terrible terrible average,pnzyhewr@gmail.com,+918161643132
qwlmighg,4,horrible poor wonderful satisfactory satisfactory average great amazing amazing wonderful,qwlmighg@gmail.com,+918289392092
ebzpnwxf,4,excellent terrible wonderful excellent wonderful wonderful terrible average terrible excellent average excellent satisfactory average amazing,ebzpnwxf@gmail.com,+918156779948
wzkvybgu,1,amazing amazing poor great satisfactory horrible great excellent average amazing average great,wzkvybgu@gmail.com,+919046087899
hykknloi,2,satisfactory horrible poor satisfactory average,hykknloi@gmail.com,+917146375255
foexvivg,5,poor satisfactory satisfactory terrible great poor excellent great amazing horrible,foexvivg@gmail.com,+917696437965
menuzfjj,5,terrible wonderful great average great great,menuzfjj@gmail.com,+916717081236
vpznegmb,1,great amazing terrible amazing horrible excellent poor amazing excellent average great excellent poor excellent,vpznegmb@gmail.com,+917378078908
quuuuwvs,2,amazing great terrible excellent horrible horrible great satisfactory satisfactory excellent poor amazing terrible poor,quuuuwvs@gmail.com,+918619674431
jrwxforu,4,amazing satisfactory excellent amazing amazing amazing horrible poor,jrwxforu@gmail.com,+917366195573
tngcjsen,1,satisfactory terrible poor excellent amazing poor poor terrible average amazing,tngcjsen@gmail.com,+918746222089
knixedgk,2,wonderful terrible average horrible terrible wonderful horrible terrible wonderful horrible,knixedgk@gmail.com,+917898005709
itqqcbtm,2,satisfactory satisfactory satisfactory terrible satisfactory wonderful,itqqcbtm@gmail.com,+919959397032
gvfnblvh,3,wonderful great great terrible wonderful,gvfnblvh@gmail.com,+918389628503
qmveqein,3,terrible satisfactory great satisfactory terrible,qmveqein@gmail.com,+919405961612
mgibvruc,1,amazing poor terrible amazing excellent terrible amazing average poor average amazing horrible,mgibvruc@gmail.com,+918636111772
xelxwytw,2,great amazing satisfactory excellent satisfactory poor excellent satisfactory horrible great terrible,xelxwytw@gmail.com,+919095619468
wuentync,4,terrible great poor satisfactory horrible great,wuentync@gmail.com,+917088506150
vmadlfgm,4,wonderful horrible great wonderful great wonderful average satisfactory satisfactory wonderful horrible,vmadlfgm@gmail.com,+919273889157
pknfmvig,2,great poor wonderful amazing average great amazing horrible amazing excellent average average great amazing satisfactory,pknfmvig@gmail.com,+918067970068
egymunek,3,terrible average satisfactory terrible excellent great great excellent horrible satisfactory great excellent satisfactory average average,egymunek@gmail.com,+916024676614
gqtggovh,3,great amazing excellent satisfactory wonderful great,gqtggovh@gmail.com,+919968711422
etwxuxih,1,wonderful great terrible poor average horrible average average wonderful,etwxuxih@gmail.com,+916900508362
vbjtrmqq,2,excellent great amazing horrible amazing terrible satisfactory great,vbjtrmqq@gmail.com,+918571633288
acyrelev,5,satisfactory excellent wonderful horrible wonderful horrible average satisfactory excellent,acyrelev@gmail.com,+919670792283
sfhtiafy,2,average average satisfactory excellent average average average great,sfhtiafy@gmail.com,+919014813690
uhdhftnm,5,poor amazing terrible wonderful poor amazing satisfactory,uhdhftnm@gmail.com,+918343691094
rfwevmck,4,horrible poor satisfactory terrible horrible terrible amazing satisfactory great poor,rfwevmck@gmail.com,+919758228834
askaclvv,2,poor excellent amazing excellent satisfactory satisfactory great amazing satisfactory terrible wonderful,askaclvv@gmail.com,+918183810245
qpsocotb,5,terrible terrible poor poor great average poor great wonderful terrible average satisfactory,qpsocotb@gmail.com,+917327483259
icqgcvgp,1,terrible poor wonderful wonderful poor wonderful wonderful amazing great,icqgcvgp@gmail.com,+918262270195
wmyvafki,2,average excellent poor excellent satisfactory wonderful horrible,wmyvafki@gmail.com,+918577168316
rqyvfupy,5,horrible poor amazing excellent poor great average great satisfactory average horrible terrible poor satisfactory,rqyvfupy@gmail.com,+917063746747
yjdcgtay,3,poor poor amazing satisfactory horrible wonderful amazing great satisfactory terrible wonderful poor great horrible,yjdcgtay@gmail.com,+919400606358
szwwsgao,1,horrible wonderful great wonderful great wonderful horrible,szwwsgao@gmail.com,+916241968766
bfmstplw,3,poor terrible terrible poor terrible horrible poor terrible great excellent poor average wonderful horrible horrible,bfmstplw@gmail.com,+918051477803
egnxrdls,5,amazing average amazing average amazing great average wonderful,egnxrdls@gmail.com,+918832834428
mcxenxaa,5,horrible horrible terrible average great amazing amazing average wonderful wonderful satisfactory,mcxenxaa@gmail.com,+917730676697
xxthbrvz,4,average average average great poor great poor wonderful horrible excellent great,xxthbrvz@gmail.com,+916422063709
ivzlxscu,4,excellent amazing horrible wonderful terrible satisfactory excellent horrible excellent amazing great average,ivzlxscu@gmail.com,+918810491323
uibjybit,5,great wonderful amazing terrible excellent excellent terrible great satisfactory wonderful excellent satisfactory horrible,uibjybit@gmail.com,+916835094935
vuqxhylo,4,poor great excellent satisfactory great great great amazing poor wonderful horrible,vuqxhylo@gmail.com,+918624503950
npxkyyzz,1,poor amazing great terrible terrible satisfactory terrible satisfactory terrible horrible,npxkyyzz@gmail.com,+917904675387
sdjlgyvy,1,terrible poor satisfactory satisfactory excellent terrible amazing great,sdjlgyvy@gmail.com,+918698228126
zwzinpnq,5,excellent satisfactory wonderful average poor terrible poor terrible wonderful satisfactory excellent satisfactory amazing poor terrible,zwzinpnq@gmail.com,+918890463752
wznjnikp,3,poor terrible satisfactory terrible satisfactory terrible excellent excellent,wznjnikp@gmail.com,+918419233277
sgvbsyse,3,wonderful terrible great horrible satisfactory,sgvbsyse@gmail.com,+916622680825
emsopxmr,4,average amazing excellent horrible terrible terrible horrible great satisfactory,emsopxmr@gmail.com,+919321537727
jwdutasr,3,excellent amazing amazing amazing amazing average average great poor terrible,jwdutasr@gmail.com,+919169993217
wtxdkxow,5,amazing amazing terrible excellent terrible excellent great wonderful great excellent satisfactory horrible terrible terrible wonderful,wtxdkxow@gmail.com,+916539867738
shsiklbn,4,great excellent excellent horrible terrible wonderful terrible,shsiklbn@gmail.com,+916741128917
ykmddaix,1,terrible terrible terrible satisfactory amazing amazing horrible great excellent horrible average poor poor,ykmddaix@gmail.com,+918684346413
faedywuv,4,terrible wonderful horrible excellent amazing great satisfactory terrible satisfactory satisfactory,faedywuv@gmail.com,+919389001634
xozwcubc,1,great excellent poor satisfactory poor terrible horrible horrible satisfactory satisfactory poor amazing average average poor,xozwcubc@gmail.com,+916500607365
upfmpjyu,5,average wonderful poor terrible wonderful satisfactory horrible wonderful horrible satisfactory great poor excellent great,upfmpjyu@gmail.com,+919673357655
gmtspnrk,2,amazing satisfactory average horrible excellent satisfactory terrible amazing terrible,gmtspnrk@gmail.com,+919296122632
utwfnabb,5,horrible average wonderful great satisfactory great poor,utwfnabb@gmail.com,+919325135463
jwbcoxsx,2,excellent wonderful excellent horrible poor poor amazing horrible,jwbcoxsx@gmail.com,+916804673622
dgmgyxma,1,satisfactory horrible terrible terrible great average average wonderful terrible,dgmgyxma@gmail.com,+916623406857
xbfuwxnt,3,terrible wonderful satisfactory great terrible wonderful wonderful average excellent wonderful horrible excellent horrible,xbfuwxnt@gmail.com,+916445969292
gsjurfwn,4,terrible satisfactory terrible excellent poor satisfactory terrible wonderful terrible excellent excellent,gsjurfwn@gmail.com,+919119033351
ztmuxcoz,3,great amazing amazing horrible horrible satisfactory horrible excellent,ztmuxcoz@gmail.com,+917769428698
khpwmfmt,2,average poor satisfactory satisfactory wonderful average great excellent great,khpwmfmt@gmail.com,+919378466021
tidbwhsr,3,average horrible wonderful satisfactory poor satisfactory horrible satisfactory excellent horrible excellent great horrible,tidbwhsr@gmail.com,+919263963316
rllyaald,4,satisfactory great wonderful great average satisfactory,rllyaald@gmail.com,+919758052565
ikylkpgo,1,terrible wonderful horrible average horrible amazing wonderful,ikylkpgo@gmail.com,+919157539536
uivukqow,2,satisfactory excellent great poor poor poor great great amazing,uivukqow@gmail.com,+919079906201
adrysdjc,3,horrible excellent terrible average wonderful great wonderful average,adrysdjc@gmail.com,+916418480367
fjvxcaff,2,horrible wonderful great wonderful excellent great excellent amazing wonderful great,fjvxcaff@gmail.com,+919228662334
lzcnrchj,1,amazing wonderful horrible satisfactory poor excellent amazing terrible excellent excellent poor wonderful satisfactory horrible wonderful,lzcnrchj@gmail.com,+919757850045
qjdbpysu,2,wonderful terrible wonderful excellent poor horrible poor great great amazing poor poor amazing great,qjdbpysu@gmail.com,+916200779413
znymmwsu,1,average satisfactory excellent average amazing terrible terrible great,znymmwsu@gmail.com,+919466844439
vukasojv,1,excellent great satisfactory amazing excellent wonderful excellent amazing,vukasojv@gmail.com,+919710395234
qvvmwvij,2,great average average satisfactory terrible poor,qvvmwvij@gmail.com,+919975935071
cbavnukk,2,great amazing satisfactory horrible horrible poor poor great great average,cbavnukk@gmail.com,+919635791836
bntlhmlq,3,great excellent satisfactory average great wonderful,bntlhmlq@gmail.com,+916580381427
uqbccplc,1,horrible poor horrible average satisfactory,uqbccplc@gmail.com,+919899746576
wirggbqj,5,average great great terrible great wonderful,wirggbqj@gmail.com,+918715293131
surqsibv,3,satisfactory satisfactory terrible amazing satisfactory,surqsibv@gmail.com,+918666103301
afmmpzqj,2,average average horrible average horrible satisfactory satisfactory poor,afmmpzqj@gmail.com,+917947364239
ykaaffhl,2,wonderful poor great poor horrible poor,ykaaffhl@gmail.com,+919076796241
cvlvaprk,3,satisfactory horrible poor wonderful wonderful horrible great great average,cvlvaprk@gmail.com,+917409999225
omfwtvgg,2,wonderful poor excellent satisfactory wonderful,omfwtvgg@gmail.com,+917500123221
plvmzffx,2,terrible excellent horrible poor excellent,plvmzffx@gmail.com,+919335369840
rpdakaee,5,satisfactory amazing excellent wonderful average excellent poor amazing,rpdakaee@gmail.com,+919017323300
vwwjdzkk,3,horrible horrible horrible great satisfactory satisfactory excellent,vwwjdzkk@gmail.com,+917021678026
mbhvahpt,5,poor satisfactory poor satisfactory poor horrible wonderful horrible poor poor,mbhvahpt@gmail.com,+917644060513
bfljvnnr,4,great poor horrible horrible excellent average poor terrible great poor wonderful amazing average wonderful,bfljvnnr@gmail.com,+917539901543
cglfpewb,5,great satisfactory satisfactory terrible wonderful satisfactory excellent satisfactory average great wonderful wonderful,cglfpewb@gmail.com,+917534764108
yqyocoap,3,average terrible horrible satisfactory terrible great satisfactory great horrible average great excellent,yqyocoap@gmail.com,+916512409864
gcvgvllu,3,wonderful wonderful wonderful great horrible satisfactory great great horrible great,gcvgvllu@gmail.com,+918601666305
zfcqjbem,3,terrible terrible terrible terrible average average horrible wonderful wonderful,zfcqjbem@gmail.com,+916849980653
qcsbxgqt,3,average terrible poor horrible terrible poor terrible wonderful great,qcsbxgqt@gmail.com,+919333061280
tkxevtbq,1,excellent great average amazing poor average excellent excellent horrible satisfactory satisfactory average,tkxevtbq@gmail.com,+917715313282
etzfcgjl,2,horrible satisfactory average terrible terrible horrible poor wonderful satisfactory excellent great average great,etzfcgjl@gmail.com,+917441779350
golsxcfe,4,great great average wonderful horrible satisfactory terrible poor poor wonderful average excellent horrible,golsxcfe@gmail.com,+916688237411
ouyytzgh,2,horrible amazing average horrible horrible horrible satisfactory terrible poor satisfactory terrible amazing terrible,ouyytzgh@gmail.com,+916065802209
sbenxwdb,4,excellent wonderful average terrible terrible poor great amazing average excellent wonderful,sbenxwdb@gmail.com,+917414225807
gzjedfvz,1,satisfactory satisfactory average poor horrible great terrible horrible average poor poor satisfactory average,gzjedfvz@gmail.com,+916805508193
edgdhzja,1,wonderful excellent poor terrible wonderful satisfactory excellent amazing terrible great average amazing wonderful,edgdhzja@gmail.com,+916362466581
kudrdvrh,5,wonderful poor great excellent average terrible satisfactory horrible terrible,kudrdvrh@gmail.com,+918107990999
tjrhkzcq,5,terrible excellent wonderful poor average,tjrhkzcq@gmail.com,+917325588497
hihfzttl,4,amazing excellent amazing amazing great satisfactory,hihfzttl@gmail.com,+919393767210
uooohkrp,1,poor great horrible amazing average horrible poor average,uooohkrp@gmail.com,+916231614371
